epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3732.62,0.48841,0.40822,0.85445,0.99148,0.99553,0.99175,0.98873,0.90902,0.49525,0.38489,0.83887,0.000194072,0.000194072,0.000194072
56,3821.9,0.47716,0.39789,0.84918,0.99047,0.9935,0.99081,0.98835,0.90792,0.49321,0.393,0.84077,0.000189943,0.000189943,0.000189943
57,3911.19,0.47609,0.40196,0.85461,0.99045,0.99792,0.99097,0.98842,0.9104,0.49759,0.37889,0.8415,0.000185815,0.000185815,0.000185815
58,3999.76,0.45933,0.39251,0.84613,0.98928,0.99701,0.99203,0.98848,0.90643,0.50702,0.37733,0.84172,0.000181687,0.000181687,0.000181687
59,4089.31,0.4718,0.39361,0.84733,0.99183,0.99564,0.99286,0.98858,0.91149,0.50895,0.38206,0.84112,0.000177559,0.000177559,0.000177559
60,4179.68,0.45817,0.38082,0.84315,0.99328,0.99732,0.99341,0.98893,0.90547,0.50595,0.37485,0.84311,0.00017343,0.00017343,0.00017343
61,4269.02,0.46956,0.39031,0.84368,0.98989,0.99655,0.9923,0.98632,0.90708,0.49954,0.37617,0.8401,0.000169302,0.000169302,0.000169302
62,4358.49,0.463,0.38744,0.84403,0.99227,0.99735,0.99254,0.98792,0.91007,0.49236,0.36427,0.84096,0.000165174,0.000165174,0.000165174
63,4449.76,0.47046,0.38679,0.85676,0.9914,0.99673,0.99251,0.98795,0.90703,0.50005,0.3677,0.84099,0.000161045,0.000161045,0.000161045
64,4538.11,0.46688,0.37813,0.85459,0.98797,0.99191,0.99276,0.98882,0.90829,0.49975,0.3656,0.84296,0.000156917,0.000156917,0.000156917
65,4627.27,0.4657,0.37917,0.84636,0.99036,0.99499,0.99314,0.99047,0.90699,0.49963,0.36161,0.84121,0.000152789,0.000152789,0.000152789
66,4716.48,0.45795,0.37745,0.8467,0.99347,0.99676,0.99298,0.98844,0.91012,0.49582,0.35541,0.84115,0.00014866,0.00014866,0.00014866
67,4804.94,0.45927,0.37409,0.84017,0.99343,0.99738,0.99277,0.98932,0.90559,0.49827,0.353,0.84279,0.000144532,0.000144532,0.000144532
68,4895.02,0.45628,0.36636,0.84133,0.98815,0.99334,0.99233,0.99124,0.90911,0.4939,0.35575,0.84197,0.000140404,0.000140404,0.000140404
69,4985.6,0.45575,0.36983,0.84831,0.9933,0.9971,0.99222,0.99026,0.91036,0.49577,0.35035,0.84209,0.000136276,0.000136276,0.000136276
70,5077.01,0.44681,0.36507,0.84308,0.99243,0.99667,0.99203,0.98852,0.90902,0.49498,0.34566,0.84158,0.000132147,0.000132147,0.000132147
71,5167.91,0.43715,0.35465,0.84047,0.99239,0.99706,0.99188,0.98742,0.90639,0.49759,0.3472,0.84109,0.000128019,0.000128019,0.000128019
72,5256.93,0.43829,0.35269,0.83822,0.98804,0.99676,0.99145,0.9868,0.90611,0.49961,0.34634,0.84124,0.000123891,0.000123891,0.000123891
73,5347.67,0.43975,0.3548,0.84251,0.98952,0.99664,0.9923,0.99016,0.90857,0.49839,0.34179,0.84148,0.000119762,0.000119762,0.000119762
74,5437.23,0.44731,0.35506,0.84388,0.99378,0.99748,0.99229,0.99128,0.9111,0.49742,0.33804,0.84182,0.000115634,0.000115634,0.000115634
75,5525.92,0.43332,0.34717,0.84144,0.99311,0.99746,0.99237,0.98714,0.91086,0.49699,0.3333,0.84303,0.000111506,0.000111506,0.000111506
76,5615.31,0.43585,0.35193,0.8433,0.98394,0.9971,0.99306,0.99191,0.91283,0.49532,0.33702,0.83956,0.000107378,0.000107378,0.000107378
77,5702.9,0.43125,0.34595,0.84291,0.98317,0.99763,0.99286,0.99165,0.91409,0.49485,0.33628,0.83993,0.000103249,0.000103249,0.000103249
78,5803.47,0.44198,0.34256,0.84421,0.9908,0.99483,0.99265,0.99146,0.91481,0.50276,0.33304,0.84106,9.91209e-05,9.91209e-05,9.91209e-05
79,5892.83,0.43305,0.33552,0.83575,0.99117,0.99575,0.99266,0.9914,0.91273,0.49693,0.32819,0.83894,9.49926e-05,9.49926e-05,9.49926e-05
80,5982.95,0.41805,0.33463,0.84038,0.9933,0.99763,0.99227,0.98986,0.91021,0.4976,0.3281,0.83994,9.08643e-05,9.08643e-05,9.08643e-05
81,6073.75,0.43109,0.33918,0.84422,0.99445,0.99735,0.99275,0.98939,0.91389,0.49306,0.32039,0.84026,8.6736e-05,8.6736e-05,8.6736e-05
82,6163.55,0.43035,0.33962,0.84001,0.9924,0.99537,0.99222,0.99027,0.91213,0.49934,0.32206,0.84057,8.26077e-05,8.26077e-05,8.26077e-05
83,6253.53,0.42738,0.3358,0.83598,0.99073,0.99607,0.99248,0.99027,0.91362,0.49705,0.3218,0.83976,7.84794e-05,7.84794e-05,7.84794e-05
84,6342.85,0.41201,0.32645,0.83108,0.99396,0.99768,0.9925,0.99026,0.91243,0.49547,0.31945,0.84014,7.43511e-05,7.43511e-05,7.43511e-05
85,6433.45,0.42843,0.3307,0.84296,0.99319,0.99792,0.99258,0.99045,0.9146,0.49046,0.31618,0.83925,7.02228e-05,7.02228e-05,7.02228e-05
86,6522.67,0.41989,0.31684,0.83447,0.99431,0.99758,0.99259,0.99063,0.91139,0.49481,0.31544,0.84095,6.60945e-05,6.60945e-05,6.60945e-05
87,6613.9,0.42431,0.32838,0.84225,0.99448,0.99792,0.99266,0.99056,0.91471,0.491,0.31373,0.83996,6.19662e-05,6.19662e-05,6.19662e-05
88,6705.33,0.41969,0.32825,0.84088,0.99447,0.99792,0.99291,0.99043,0.91283,0.49364,0.31354,0.84031,5.78379e-05,5.78379e-05,5.78379e-05
89,6795.6,0.41634,0.32637,0.83405,0.99458,0.99792,0.99286,0.9903,0.91313,0.49062,0.31064,0.8404,5.37096e-05,5.37096e-05,5.37096e-05
90,6885.22,0.41612,0.32521,0.83484,0.99421,0.99735,0.99277,0.99029,0.91243,0.49079,0.309,0.84095,4.95813e-05,4.95813e-05,4.95813e-05
91,6986.19,0.37652,0.31401,0.8018,0.99279,0.99792,0.99221,0.99167,0.91073,0.49441,0.31493,0.8414,4.5453e-05,4.5453e-05,4.5453e-05
92,7074.6,0.37649,0.30845,0.8061,0.99263,0.99792,0.99249,0.99138,0.91083,0.49166,0.3127,0.84013,4.13247e-05,4.13247e-05,4.13247e-05
93,43.2469,0.40034,0.31392,0.83544,0.99474,0.99704,0.99286,0.9918,0.91453,0.49376,0.30652,0.8404,3.71964e-05,3.71964e-05,3.71964e-05
94,82.0423,0.40468,0.31518,0.83202,0.99453,0.99682,0.99251,0.99146,0.91505,0.49547,0.30712,0.84061,3.30681e-05,3.30681e-05,3.30681e-05
95,120.556,0.40198,0.31232,0.83118,0.9945,0.99706,0.99238,0.99043,0.91589,0.49289,0.30808,0.84008,2.89398e-05,2.89398e-05,2.89398e-05
96,159.678,0.40413,0.30374,0.82914,0.99448,0.99705,0.9924,0.99048,0.91536,0.49323,0.30624,0.83974,2.48115e-05,2.48115e-05,2.48115e-05
97,198.986,0.40043,0.30878,0.82915,0.99407,0.9967,0.99265,0.99078,0.91575,0.49321,0.30541,0.83945,2.06832e-05,2.06832e-05,2.06832e-05
98,238.893,0.39142,0.30358,0.83363,0.99434,0.99715,0.99232,0.99036,0.91665,0.49137,0.30288,0.83875,1.65549e-05,1.65549e-05,1.65549e-05
99,277.892,0.39034,0.30711,0.82686,0.99456,0.99725,0.9921,0.99014,0.91326,0.49137,0.30201,0.83927,1.24266e-05,1.24266e-05,1.24266e-05
100,316.883,0.39598,0.31633,0.83979,0.99447,0.99734,0.99234,0.99038,0.91368,0.49125,0.30107,0.83902,8.2983e-06,8.2983e-06,8.2983e-06
